Registered,Project title,Host parties,Other Parties,Methodology,Reductions,Ref
30/01/2013,"Rehabilitation of Degraded Wastelands at Deramandi in Southern District of National Capital Territory of Delhi through Reforestation",India,,AR-AMS0001 ver. 6,12138,9549
30/01/2013,"Electricity generation from bundled wind energy project in Maharashtra aggregated by Resurge Energy Private Limited",India,,ACM0002 ver. 13,26065,9534
30/01/2013,"Mwenga Hydro Power Project",United Republic of Tanzania,Sweden,AMS-I.F. ver. 2/ AMS-I.D. ver. 17,11354,9550
31/01/2013,"Grid Connected Gas based Combined Cycle Power Project in Andhra Pradesh",India,United Kingdom of Great Britain and Northern Ireland,AM0029 ver. 3,1388315,8323
31/01/2013,"Namwasa Central Forest Reserve Reforestation Initiative",Uganda,United Kingdom of Great Britain and Northern Ireland,AR-AM0004 ver. 4,11328,7949
31/01/2013,"Bundled wind power project Cape Verde",Cape Verde,Sweden,ACM0002 ver. 13,67444,9570
31/01/2013,"Oil Search Limited Flare and Vent Gas Conservation Project",Papua New Guinea,,AM0009 ver. 5,57438,8276
31/01/2013,"2.5 MW power generation through installation of wind turbine generators in Tamil Nadu, India",India,,AMS-I.D. ver. 17,5071,9419
31/01/2013,"Hebei Zhuozhou biomass combined stoves and heaters (BCSH) Project 1",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.C. ver. 19,17343,5570
31/01/2013,"Qingdao MSW Incineration Power Generation Project",China,Japan,AM0025 ver. 13,147727,8066
31/01/2013,"Thermal Energy Generation using Biomass Briquette at M/s. Garware Polyester Limited, Waluj, Aurangabad, India",India,,AMS-I.C. ver. 19,17686,8546
31/01/2013,"LTML Wind Energy Project in Tamil Nadu",India,,AMS-I.D. ver. 17,19333,9553
31/01/2013,"Small scale bundle wind energy project in India.",India,,AMS-I.D. ver. 17,7605,9546
31/01/2013,"Electricity generation through environment friendly technology",India,,AMS-I.D. ver. 17,8156,9575
31/01/2013,"Demonstration project for annual production 4, 000, 000 m3 biogas from organic waste in Anyang City",China,United Kingdom of Great Britain and Northern Ireland,AMS-III.AQ./ AMS-III.AO.,50739,8358
31/01/2013,"4.8 MW Wind Power CDM Project by Golden Hatcheries",India,,AMS-I.D. ver. 17,9678,9562
31/01/2013,"Makeni power project",Sierra Leone,,ACM0006 ver. 12,55945,9556
31/01/2013,"1.5 MW Small Hydro Project at Yeleswaram, East Godavari Dist., Andhra Pradesh, India",India,,AMS-I.D. ver. 17,7478,9564
31/01/2013,"Wind Power Project By Unique Forwarders (CDM.OCT.-11-02)",India,,AMS-I.D. ver. 17,3381,9580
31/01/2013,"Fuel Switching From Fossil Fuel to Biomass for Thermal Energy in Bhavnagar.",India,,AMS-I.C. ver. 19,14529,8056
31/01/2013,"Lautaro Generation Project",Chile,United Kingdom of Great Britain and Northern Ireland,ACM0018 ver. 2,74293,8099
31/01/2013,"6.6 MW Bundled Wind Power Project in Tamil Nadu",India,,AMS-I.D. ver. 17,14289,9561
31/01/2013,"Serra de Santana II Wind Farm.",Brazil,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,46736,9536
31/01/2013,"Green Energy Project at Gujarat by Powerica Limited",India,,ACM0002 ver. 13,61360,8672
31/01/2013,"Gas Flare Recovery at Suez Oil Processing Company, Egypt",Egypt,United Arab Emirates,AM0055 ver. 2,186230,9516
31/01/2013,"Serra de Santana III Wind Farm.",Brazil,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,43915,9547
31/01/2013,"Hefei City Municipal Solid Waste Incineration Power Generation Project",China,Switzerland,AM0025 ver. 13,196502,8062
01/02/2013,"10.2 MW Wind Energy CDM Project by RRECL at village Pohara, Pohara-Baramsar, District Jaisalmer, Rajasthan, India",India,,AMS-I.D. ver. 17,17310,9565
01/02/2013,"Pasak Jolasid Hydropower Project",Thailand,,AMS-I.D. ver. 17,18392,9555
01/02/2013,"Mae Klong Hydropower Project",Thailand,,AMS-I.D. ver. 17,41741,9554
04/02/2013,"Thermal energy generation using biomass by Ozone Envirotech (P) Ltd.",India,,AMS-I.C. ver. 19,27771,9559
04/02/2013,"Qingtongxia Aluminium Co., Ltd. 350kA Electrolytic Cells Upgrade & Retrofit Project",China,United Kingdom of Great Britain and Northern Ireland,AM0059,87362,8768
04/02/2013,"Dapein (1) Hydropower Project in Union of Myanmar",Myanmar,Netherlands/ China,ACM0002 ver. 12,709360,7731
05/02/2013,"Afforestation/Reforestation on Degraded Lands in Southwest Sichuan, China",China,Switzerland,AR-ACM0003,40214,9563
05/02/2013,"Methane recovery and electricity generation from POME at Pelakar Mill, Jambi, Indonesia",Indonesia,,AMS-III.H. ver. 16/ AMS-I.A. ver. 14,13446,7031
05/02/2013,"Pujiangling MSW Incineration for Power Generation Project in Fujian Province",China,Japan,AM0025 ver. 13,146796,7942
07/02/2013,"Shuochen Niujialing Wind Power Generation Project in Shanxi Province",China,,ACM0002 ver. 13,86778,9568
08/02/2013,"19.5 MW wind power project in Ossiya, Rajasthan by Gujarat Fluorochemicals Limited (GFL)",India,,ACM0002 ver. 13,33455,9573
08/02/2013,"Eiamheng Tapioca Starch Industry Co.,Ltd. Tapioca starch wastewater biogas extraction and utilization project, Nakhonratchasima Province, Kingdom of Thailand",Thailand,Japan,ACM0014 ver. 4,93188,4155
09/02/2013,"Srisangdaw Biopower Power Plant Project",Thailand,Netherlands,AMS-I.F. ver. 2,40630,3634
12/02/2013,"Rice husk based Power project in Nakhonratchasima, Thailand",Thailand,,AMS-I.D. ver. 17,30547,9577
13/02/2013,"50 MW Mindanao Geothermal Power Plant 3 Project",Philippines,,ACM0002 ver. 13,279555,8532
14/02/2013,"Song Bac Hydropower Project",Viet Nam,,ACM0002 ver. 12,90981,7504
15/02/2013,"Shanxi Linfen Dyestuff Efficiency Improvement Project",China,Japan,AMS-III.B. ver. 16,54634,8028
Rejected,"Construction of Sumgayit Combined Cycle Power Plant",Azerbaijan,United Kingdom of Great Britain and Northern Ireland,AM0029 ver. 3,774430,3836
19/02/2013,"AWMS METHANE RECOVERY PROJECT SG-1",Mexico,,AMS-III.D. ver. 18,37897,9552
19/02/2013,"Jilin Anbai Gaosu Lesheng Wind Farm Phase II Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,102005,8003
20/02/2013,"Gramang Hydel power Project",India,,AMS-I.D. ver. 17,26169,9541
25/02/2013,"Domestic production and sales of enhanced energy-efficient refrigerators in India by LG Electronics India Pvt Ltd.",India,,AM0070 ver. 3,580110,6916
25/02/2013,"Guiyang MRTS Line I Project",China,,ACM0016 ver. 3,335188,8149
25/02/2013,"9MW Pure Low Temperature Waste Heat Recovery and Utilisation for Power Generation Project of Linxiang Conch Cement Company Limited",China,,ACM0012 ver. 4,40745,8282
25/02/2013,"KI Biogas Co., Ltd. Wastewater Treatment for Energy Generation, Nakhon Ratchasima",Thailand,,ACM0014 ver. 4,63767,6565
25/02/2013,"2.75 MW Bundled Wind Power Project in Karnataka",India,,AMS-I.D. ver. 17,4211,8040
26/02/2013,"Bundled biomass based steam generation project in India",India,,AMS-I.C. ver. 19,39656,9576
26/02/2013,"SHP MORRO AZUL CDM PROJECT (JUN1164)",Colombia,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,45489,8879
26/02/2013,"Poza Rica Landfill Gas Project.",Mexico,,ACM0001 ver. 12,39577,8361
26/02/2013,"Cadereyta Landfill Gas Project",Mexico,,ACM0001 ver. 12,57032,8360
26/02/2013,"Tijuana Landfill Gas Project.",Mexico,,ACM0001 ver. 12,155709,8368
26/02/2013,"CTR Rosario Landfill Gas Project",Brazil,,ACM0001 ver. 19,63981,8242
,"CDM Project for Forestry Restoration in Productive and Biological Corridors in the Eastern Plains of Colombia",Colombia,,AR-AM0004 ver. 4,256109,9199
05/03/2013,"Mejillones Sulphuric Acid Plant",Chile,United Kingdom of Great Britain and Northern Ireland,ACM0012 ver. 4,90692,8854
08/03/2013,"Mudanjiang Guojiagou Landfill Gas Power Generation Project",China,,ACM0001 ver. 12,48453,7041
08/03/2013,"CGR CATANDUVA LANDFILL GAS PROJECT",Brazil,,ACM0001 ver. 13,70210,8205
11/03/2013,"Solar Power project at Patan District in Gujarat",India,,AMS-I.D. ver. 17,7586,8448
11/03/2013,"Combined Cycle at Loma de la Lata Thermo Unit Project",Argentina,,ACM0007 ver. 6,651610,7178
11/03/2013,"Ningxia Qingtongxia Solar PV Power Station Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,13745,8670
12/03/2013,"Tram Tau Hydroelectric Power Plant",Viet Nam,,ACM0002 ver. 13,67612,7450
14/03/2013,"Thangarabalu Small Hydel Project at Karnataka",India,,ACM0002 ver. 13,53983,9592
14/03/2013,"3 MW solar PV power project by Par Solar Private Limited at village Gadna Dist- Jodhpur in Rajasthan, INDIA",India,,AMS-I.D. ver. 17,5109,9424
15/03/2013,"Carbonization Project - Mitigation of Methane Emissions in the Charcoal Production of V&M Florestal, Minas Gerais, Brazil.",Brazil,,AM0041,204471,8609
19/03/2013,"Gangakhed Sugar & Energy Private Ltd (GSEPL) 30 MW Bagasse Based Co-generation Power Project",India,,ACM0006 ver. 12,64480,4816
19/03/2013,"Beijing Caoqiao Natural Gas CCGT Project",China,,AM0107 ver. 2,375190,8764
19/03/2013,"Cupisnique Wind Farm Project",Peru,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,214944,7487
19/03/2013,"Beijing Northeast Power Center Jingneng Gasfired Cogeneration Project",China,,AM0107 ver. 2,410685,8763
19/03/2013,"Fal G brick manufacturing by Magnum Concretes Pvt. Ltd",India,United Kingdom of Great Britain and Northern Ireland,AMS-III.Z. ver. 3,17945,6595
19/03/2013,"Tanghe Tailong Cement WHR project",China,United Kingdom of Great Britain and Northern Ireland,AMS-III.Q. ver. 4,32794,6116
21/03/2013,"Monte Rosa Vinasse Dewatering Project (Hereinafter MRVDP)",Nicaragua,,ACM0014 ver. 4,86315,8961
22/03/2013,"Talara Wind Farm Project",Peru,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,86866,7594
22/03/2013,"Maesod Wastewater Treatment and Biogas Utilisation Project",Thailand,Switzerland/ Sweden,AMS-III.H. ver. 16/ AMS-I.C. ver. 19/ AMS-I.D. ver. 17,54113,8712
22/03/2013,"Nallakonda wind farm in Andhra Pradesh",India,Australia,ACM0002 ver. 13,100630,8791
25/03/2013,"Ikutmaju Biomass Cogeneration Project",Malaysia,Denmark,AMS-I.C. ver. 19/ AMS-III.E. ver. 16,16844,5801
29/03/2013,"Yunnan Tengchong Yongxing River Second Level Hydropower Station",China,,ACM0002 ver. 13,56748,8329
01/04/2013,"Yunnan Tengchong Yongxing River First Level Hydropower Station",China,,AMS-I.D. ver. 17,39688,8319
04/04/2013,"Solar Power project in Rajasthan",India,Australia,ACM0002 ver. 13,34261,9602
05/04/2013,"Grid connected solar PV based power generation at Rajasthan by Symphony Vyapaar Pvt Ltd",India,,AMS-I.D. ver. 17,19197,9604
05/04/2013,"Grid connected solar PV based power generation at Rajasthan by Lexicon Vanijya Pvt. Ltd",India,,AMS-I.D. ver. 17,19197,9605
08/04/2013,"Energy efficiency improvement project through modification of heat exchanger network at Kenya Petroleum Refineries Ltd",Kenya,United Kingdom of Great Britain and Northern Ireland,AMS-II.D. ver. 12,6068,8561
10/04/2013,"""Ensenada Hydroelectric Project""",Chile,,AMS-I.D. ver. 17,18897,8867
10/04/2013,"6.5 MW Bundled Wind Power Project in Rajasthan, India",India,,AMS-I.D. ver. 17,10333,3640
12/04/2013,"5MW Solar PV Power Plant by AEPL",India,Australia,AMS-I.D. ver. 17,8697,9610
12/04/2013,"11.9 MW Wind Power Project at Tamil Nadu, India.",India,,AMS-I.D. ver. 17,22439,9608
16/04/2013,"Mulibettu Hydro Power Project",India,,AMS-I.D. ver. 17,24833,9571
18/04/2013,"Quantou Group Zaozhuang Jinqiao Cement Corporation., Ltd Increasing Blend In Cement Production Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0005 ver. 7,124892,8748
18/04/2013,"Incineration of Spent wash to operate 1 MW captive cogeneration project at OGPSCL",India,,AMS-I.C. ver. 19,34051,5545
18/04/2013,"Inner Mongolia Huanghe Industry and Trade (Group) Wanchen Energy Resources Co., Ltd. Qianfeng Cement Plant 4800 t/d clinker production line #2 technical reconstruction project",China,Netherlands,ACM0012 ver. 4,50764,9612
22/04/2013,"Los Pocitos Landfill Gas Utilization Project",Colombia,,ACM0001 ver. 12,94616,8705
22/04/2013,"Bundled Wind Power Project by EKI Energy Services Ltd. (EKIESL-CDM.January-12-02)",India,,AMS-I.D. ver. 17,13369,9615
22/04/2013,"Inner Mongolia Huanghe Industry and Trade (Group) Wanchen Energy Resources Co., Ltd. Qianfeng Cement Plant 4800 t/d clinker production line #1 technical reconstruction project",China,Netherlands,ACM0012 ver. 4,50764,9614
22/04/2013,"Cleanstar Mozambique - Maputo Ethanol Cookstove and Cooking Fuel Project 1",Mozambique,United Kingdom of Great Britain and Northern Ireland,AMS-I.E. ver. 5,192482,9595
22/04/2013,"Tian Siang Oil Mill (Air Kuning) Biogas Project",Malaysia,United Kingdom of Great Britain and Northern Ireland,AMS-III.H. ver. 16/ AMS-I.F. ver. 2,45334,2560
02/05/2013,"0.85 MW x 2 Wind Turbine Generator project",India,,AMS-I.D. ver. 17,3522,9619
06/05/2013,"Beijing Jingneng Weilai Kejicheng Gas-fired Cogeneration Project",China,,AM0107 ver. 2,138077,8724
07/05/2013,"Yunnan Nanwahe River Bundled Hydropower Project of China",China,Netherlands,ACM0002 ver. 13,64088,6733
08/05/2013,"Shandong Province Jinjiang Biodiesel Production Project",China,Switzerland,ACM0017 ver. 2,122495,8158
09/05/2013,"Wind Power Project by Plasti Surge Industries Pvt. Ltd.",India,,AMS-I.D. ver. 17,3861,9624
09/05/2013,"Electricity Generation using renewable wind energy by Sahyadri Industries Limited",India,,AMS-I.D. ver. 17,13305,9625
09/05/2013,"Cabeço Preto Wind Farm",Brazil,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,27841,8899
13/05/2013,"Lower Kotmale Oya Mini Hydro Power Project",Sri Lanka,,AMS-I.D. ver. 17,6889,9631
14/05/2013,"Municipal Solid Waste to Energy Project by Western Power Company (Pvt) Ltd",Sri Lanka,,ACM0022,139829,9104
14/05/2013,"100 MW Wind Power Project in Dongola",Sudan,,ACM0002 ver. 13,91780,9632
15/05/2013,"5 MW Solar Photovoltaic based Power Generation in Jodhpur, Rajasthan",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,8177,9630
15/05/2013,"Efe'e Landfill Gas to renewable electricity Project",Israel,,ACM0001 ver. 13,155646,7777
16/05/2013,"Generation of electricity from a bundled 10.2 MW Wind Power Project by KRBL Limited",India,,AMS-I.D. ver. 17,21732,9633
17/05/2013,"Dariali Hydroelectric Power Project",Georgia,Netherlands,ACM0002 ver. 13,259229,8491
22/05/2013,"Lanchinha Wind Farm",Brazil,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,45472,9611
23/05/2013,"Methane Capture and Flaring from Addis Ababa Repi open dump fill",Ethiopia,,ACM0001 ver. 13,96884,9639
23/05/2013,"Hangzhou Huadian Banshan NG Combined Cycle Cogeneration Project",China,,AM0107 ver. 2,411533,8694
24/05/2013,"Wind Project Activity by White House",India,,AMS-I.D. ver. 17,5496,9643
27/05/2013,"LMEL 25 MW Waste Heat based Captive Power Plant.",India,Australia,ACM0012 ver. 4,114718,9003
28/05/2013,"Wind Power Project by Surana Corporation Limited at Tamil Nadu, India",India,,ACM0002 ver. 13,38259,9621
28/05/2013,"Biogas recovery and electricity generation from anaerobic treatment of industrial wool scouring effluent",Uruguay,,AMS-III.H. ver. 16/ AMS-I.C. ver. 19,18849,9636
30/05/2013,"Nghi Son Waste Heat Recovery and Utilization Project",Viet Nam,,AMS-III.Q. ver. 4,53993,9641
03/06/2013,"Heilongjiang Nongkenyuanda Biomass Cogeneration CDM Project At Heilongjiang Province, China",China,United Kingdom of Great Britain and Northern Ireland,ACM0006 ver. 11,91954,7988
04/06/2013,"9 MW Wind Power Project of Khatau Narbheram & Co. in Tamil Nadu, India",India,,AMS-I.D. ver. 17,17679,9652
04/06/2013,"Shanxi Majunyu CMM Power Generation Project",China,Finland,ACM0008 ver. 7,138413,8106
04/06/2013,"Chaglla Hydroelectric Power Plant CDM Project",Peru,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,1814613,9116
10/06/2013,"CEMEX Panama: Alternative fuels and biomass project at kiln 2 of Bayano cement plant",Panama,United Kingdom of Great Britain and Northern Ireland,ACM0003 ver. 7,70883,9203
11/06/2013,"Vajrakarur wind power project in Andhra Pradesh",India,Australia,ACM0002 ver. 13,124363,9650
17/06/2013,"9.9 MW Biomass based power plant at Khas, Gujarat",India,,AMS-I.D. ver. 17,35486,9108
18/06/2013,"Hangtian Wanyuan Gaizhou Tazigou Wind Farm Project",China,,ACM0002 ver. 12,94969,8741
18/06/2013,"Green Building at Kolkata",India,,AMS-II.E. ver. 10,1881,7985
20/06/2013,"Tuokexun Wind Farm Phase III Project",China,,ACM0002 ver. 13,83145,9655
21/06/2013,"CPTR Marituba landfill gas project",Brazil,,ACM0001 ver. 13,110633,9298
Rejected,"Clinker Optimization in cement types production at Derba MIDROC cement Plant",Ethiopia,,ACM0005 ver. 7,571832,7632
21/06/2013,"Methane Recovery and Use of the Biogas in the Dak To Tapioca Starch Making Plant of APFCO, Vietnam",Viet Nam,Switzerland,AMS-III.H. ver. 16/ AMS-I.C. ver. 19,22663,8752
24/06/2013,"IFM Integrated Clean Energy Project",South Africa,Netherlands,ACM0012 ver. 4,143852,6669
24/06/2013,"CTDR Bob Ambiental landfill gas project",Brazil,,ACM0001 ver. 13,77851,9295
24/06/2013,"Rio Grande landfill gas project",Brazil,,ACM0001 ver. 13,11436,9300
25/06/2013,"Renewable Wind Energy Project in India",India,,ACM0002 ver. 13,22902,9664
27/06/2013,"Gansu Ganzhou District Nantan Phase I 50MWp Solar Photovoltaic Power Project",China,,ACM0002 ver. 13,67177,9667
28/06/2013,"CTR da Caturrita landfill gas project",Brazil,,ACM0001 ver. 13,31957,9302
28/06/2013,"Fuxin Coal Mine Methane Utilization Project",China,Switzerland,ACM0008 ver. 7,479051,9204
29/06/2013,"Wind Power Project by Gujarat Multi Gas Base Chemicals Pvt. Ltd. (EKIESL-CDM.May-12-01)",India,,AMS-I.D. ver. 17,3167,9671
03/07/2013,"P.S.CH. Biogas Plant",Thailand,,AMS-III.H. ver. 16/ AMS-I.D. ver. 17,5454,9674
08/07/2013,"Fukang 33MW CMM Based Electricity Generation Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0008 ver. 7,643042,7938
09/07/2013,"Substitution of coal with alternate fuels at Lucky Cement Limited, Karachi Plant",Pakistan,Switzerland,ACM0003 ver. 7,191542,8780
11/07/2013,"Biogas recovery from wastewater treatment in Hargy Oil Palms Ltd Palm Oil Mill.",Papua New Guinea,Australia,AMS-III.H. ver. 16,35725,9168
11/07/2013,"5.3 MW Bundled Wind Power project in India",India,,AMS-I.D. ver. 17,8396,9680
15/07/2013,"0.8MW Wind based Power Generation by Dwarkesh Engineering in Rajasthan",India,,AMS-I.D. ver. 17,1453,9684
15/07/2013,"Hernic’s Electricity Generation from Waste Gas Project",South Africa,,ACM0012 ver. 4,152290,8956
15/07/2013,"Installation of Natural gas based combined cooling heating and power (CCHP) systems in DLF Building 5 in Gurgaon, India",India,,AM0084,15096,9679
17/07/2013,"Changwon Water Supply Sewerage Control Office-Kyungnam Power bundling PV power plant project",Republic of Korea,,AMS-I.D. ver. 17,1785,9682
23/07/2013,"5.10 MW Wind Power Project by Shyam Metalics & Energy Limited in Maharashtra, India",India,,AMS-I.D. ver. 17,8513,9697
23/07/2013,"Bundled wind power project - Enking international (CDM.Nov-10-01)",India,,AMS-I.D. ver. 17,8802,9696
23/07/2013,"Angelina Small Hydropower Plant Project Activity.",Brazil,,ACM0002 ver. 13,27558,9691
25/07/2013,"Methane Recovery Project at Pronaca Swine Farms",Ecuador,,AMS-III.D. ver. 18,58378,9695
26/07/2013,"Energy efficiency measures at Terminal T3",India,,AMS-II.E. ver. 10,16413,9676
26/07/2013,"Guizhou Wujiang Shatuo Hydropower Project",China,,ACM0002 ver. 13,2642739,9309
26/07/2013,"Green Electricity Generation from Wind Power Project located in Coimbatore, India",India,,AMS-I.D. ver. 17,5455,9700
29/07/2013,"2.1 MW Wind Power Project by Om Vinyls Private Limited",India,,AMS-I.D. ver. 17,3431,9702
29/07/2013,"Piasa Bagasse Cogeneration",Mexico,France,ACM0006 ver. 12,46728,7937
29/07/2013,"Biomass based power project in Punjab",India,,AMS-I.D. ver. 17,51492,8892
31/07/2013,"Mini hydroelectric project. Escalona Energy",Mexico,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,38005,9689
31/07/2013,"The Mazar-Dudas Bundled Hydropower Project",Ecuador,,ACM0002 ver. 13,60768,9677
31/07/2013,"Niger Acacia Senegal Plantation Project",Niger,Japan/ Italy/ Luxembourg/ Spain,AR-ACM0003,24957,9708
31/07/2013,"MACAÚBAS LANDFILL GAS PROJECT",Brazil,Germany,ACM0001 ver. 19,377528,9063
06/08/2013,"Natural Gas Based Combined Cycle Power Generation, at Kothapeta, East Godavari, Andhra Pradesh, India.",India,,AM0029 ver. 3,1351965,6506
07/08/2013,"Beijing Northwest Thermal Power Center Jingneng Gas-fired cogeneration Project",China,,AM0107 ver. 2,611463,9678
08/08/2013,"Tianjin Guanzhuang Municipal Solid Waste Incineration Project",China,Netherlands,ACM0022,62699,9378
09/08/2013,"Mulei County Yuanheng Coal Chemical Industry Co., Ltd. Semi-coke Waste Gas for Power Generation Project",China,Netherlands,ACM0012 ver. 4,406447,7106
12/08/2013,"15 MW wind power project by Green Infra Wind Energy Assets Ltd",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,31500,9651
12/08/2013,"El Fraile Small Hydro Power Plant",Panama,,AMS-I.D. ver. 17,14011,9439
13/08/2013,"Huizhou Dongjiang Hydropower Project",China,,ACM0002 ver. 13,175411,9710
14/08/2013,"Renewable Energy Project Bundled by Livia Polymer Bottles Pvt. Ltd",India,,AMS-I.D. ver. 17,12230,9719
14/08/2013,"Grid connected Solar PV Project in Rajasthan by GAIL (India) Ltd.",India,,AMS-I.D. ver. 17,8783,9718
16/08/2013,"Tiefa Coal Mine Methane Utilisation for Power Generation Project",China,Switzerland,ACM0008 ver. 7,228339,9019
16/08/2013,"13.65 MW Wind Power Project of Khatau Narbheram & Co. in Tamil Nadu, India",India,,AMS-I.D. ver. 17,26813,9715
19/08/2013,"Grid Connected Wind Power Project by M/s. Venkatrama Poultries Limited at Tirupur, Tamil Nadu",India,,AMS-I.D. ver. 17,7340,9720
20/08/2013,"24 MW Wind Energy based Power Generation In Theni, Tamil Nadu",India,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,48089,9699
24/08/2013,"CTR Maceio Landfill Gas Project",Brazil,,ACM0001 ver. 13,116336,9228
26/08/2013,"2.5 MW Wind Project by Gokul Refoils & Solvent Limited",India,,AMS-I.D. ver. 17,4256,9722
26/08/2013,"Bundle Wind Power Project – EnKing International (CDM.OCT-09-01)",India,,AMS-I.D. ver. 17,5992,9485
02/09/2013,"351.43 MW Natural Gas Based Combined Cycle Power Plant at Hazira, Gujarat",India,,AM0029 ver. 3,885944,9396
03/09/2013,"Handan LFG Power Generation Project",China,Switzerland,ACM0001 ver. 13,73997,9346
03/09/2013,"Energy efficiency measures in Office Building at Kalina of Ivory Property Trust",India,,AMS-II.E. ver. 10,1785,9449
06/09/2013,"Inner Mongolia Helin Shimenzi 49.5MW Wind Power Project",China,,ACM0002 ver. 13,108105,8237
10/09/2013,"San Matias Wind Farm",Mexico,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,37854,9070
10/09/2013,"Quijos Hydroelectric Project",Ecuador,,ACM0002 ver. 12,188784,9086
12/09/2013,"Kukke Stage - 1 Hydro-Electric Project",India,,ACM0002 ver. 12,61382,9359
18/09/2013,"Fuel Switching from Petroleum to Natural Gas Project of Fengda Electric Power Co., Ltd.",China,,ACM0011 ver. 2,72163,8167
19/09/2013,"Fornasa Geração de Energia and Pegoraro Energia: Grid connected renewable electricity through the SHPs Canta Galo, Estância and Pegoraro",Brazil,,AMS-I.D. ver. 17/ ACM0002 ver. 13,15794,9734
19/09/2013,"Energy efficiency improvement in Shenzhen Mawan power Co., Ltd.",China,,AMS-II.B. ver. 9,52113,8941
23/09/2013,"Dak Rong 4 Hydropower Project",Viet Nam,Netherlands,ACM0002 ver. 13,38106,7672
23/09/2013,"9.9 MW Bundled Wind Power Project in Tirupur, Tamilnadu",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,24360,9487
24/09/2013,"4.25MW grid connected wind farm by Avaneetha Textiles (P) Ltd., Tamil Nadu, India at village Andipatti taluk, Uthamapalayam taluk & Teni taluk, Teni District. Tamil nadu. India by M/S Avaneetha Textiles (P) Ltd",India,,AMS-I.D. ver. 17,8755,9601
25/09/2013,"Reduction in Greenhouse Gas emissions through replacement of Fuel Oil with Natural Gas in refinery furnace operations at Essar Oil Ltd.",India,,AMS-III.AH.,44521,9714
25/09/2013,"FERREIRA GOMES HYDRO POWER PLANT CDM PROJECT ACTIVITY",Brazil,,ACM0002 ver. 13,402722,6534
25/09/2013,"Kiriwaneliya Mini Hydro Power Project",Sri Lanka,,AMS-I.D. ver. 17,10636,9743
26/09/2013,"Installation of Waste Heat Recovery System at SO3 absorption towers by Indian Farmers Fertiliser Cooperative Ltd IFFCO, Paradeep unit, Orissa",India,,ACM0012 ver. 4,126998,9450
27/09/2013,"3 MW Wind Power Plant of SMC at Gosa village in Porbandar district of Gujarat state, India",India,,AMS-I.D. ver. 17,6103,9750
28/09/2013,"Small Hydro Power Plants in Braço do Norte River Bundled Project Activities (hereafter referred to simply as “SHPPs in Braço do Norte River”)",Brazil,,AMS-I.D. ver. 17,22081,8336
30/09/2013,"MCL wind power project in Tamilnadu, India",India,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,36966,9740
01/10/2013,"Bundled wind power project in the state of Gujarat",India,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,96444,9688
03/10/2013,"Greenhouse Gas emissions reduction by recovering metals and materials through Electronic Waste collection and recycling process performed at Attero Recycling Pvt Ltd plant located in Roorkee, Uttarakhand, India",India,,AMS-III.BA.,17128,9739
03/10/2013,"Guanaquitas 9.74 MW Hydroelectric project",Colombia,,AMS-I.D. ver. 16,20149,3816
05/10/2013,"Wind Power Electricity Generation in Maharashtra",India,,AMS-I.D. ver. 17,4946,9755
07/10/2013,"Bundle Wind Power Project-Enking International (CDM.Aug-09-01)",India,,AMS-I.D. ver. 17,7479,9567
07/10/2013,"1.25 MW Wind Power Project in Jamnagar, Gujarat",India,,AMS-I.D. ver. 17,2477,9757
08/10/2013,"Kamchay Hydroelectric BOT Project",Cambodia,Netherlands,ACM0002 ver. 13,281348,9752
09/10/2013,"Qian’an Wangxin Caizi Town Windfarm Project Phase II",China,Germany,ACM0002 ver. 13,100683,9746
11/10/2013,"Bundled Wind Power Project- EnKing International (CDM.November-10-02)",India,,AMS-I.D. ver. 17,11490,9482
Rejected,"Chorokhi Hydro Power Plant Project",Georgia,,ACM0002 ver. 13,284042,9320
11/10/2013,"Datang International Faku Wulongshan 48MW New Wind Power Project",China,,ACM0002 ver. 13,94312,9736
15/10/2013,"Cabo Leones Wind Farm",Chile,Colombia/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 13,305956,9741
16/10/2013,"Mimosa Coal Mine Methane Project",Mexico,,ACM0008 ver. 7,295168,3751
